stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2182,2182,SB Rainbow after Alta,,36.165939,-115.244469,,,,,,0
2183,2183,SB Rainbow after Ann,,36.262566,-115.242527,,,,,,0
2185,2185,NB Rainbow after Buckskin,,36.222372,-115.242199,,,,,,0
2186,2186,NB Rainbow after Charleston,,36.159959,-115.243566,,,,,,0
2187,2187,SB Rainbow after Charleston,,36.158408,-115.243867,,,,,,0
2188,2188,NB Rainbow after Cheyenne,,36.218605,-115.242195,,,,,,0
2189,2189,SB Rainbow after Cheyenne,,36.217347,-115.24243,,,,,,0
2190,2190,SB Rainbow after Palmyra,,36.132773,-115.243137,,,,,,0
2192,2192,NB Rainbow after Del Rey,,36.155811,-115.243344,,,,,,0
2193,2193,SB Rainbow after Del Rey,,36.154912,-115.243678,,,,,,0
2194,2194,NB Rainbow after Desert Inn,,36.130188,-115.242821,,,,,,0
2195,2195,SB Rainbow after Desert Inn,,36.12884,-115.243163,,,,,,0
2196,2196,NB Rainbow after Edna,,36.137494,-115.242768,,,,,,0
2197,2197,NB Rainbow after Eldora,,36.141155,-115.242759,,,,,,0
2198,2198,NB Rainbow after Endora,,36.118696,-115.242802,,,,,,0
2199,2199,SB Rainbow after Endora,,36.117713,-115.243137,,,,,,0
2200,2200,NB Rainbow after Flamingo,,36.115383,-115.242793,,,,,,0
2201,2201,SB Rainbow after Flamingo,,36.113531,-115.243129,,,,,,0
2202,2202,NB Rainbow after Gazelle,,36.193013,-115.242204,,,,,,0
2204,2204,NB Rainbow after Gowan,,36.225985,-115.242213,,,,,,0
2207,2207,SB Rainbow after Hacienda,,36.091797,-115.243102,,,,,,0
2208,2208,SB Rainbow before Charleston,,36.161132,-115.244019,,,,,,0
2209,2209,NB Rainbow before Alta,,36.163465,-115.24391,,,,,,0
2210,2210,NB Rainbow after Lake Mead,,36.196526,-115.241887,,,,,,0
2211,2211,SB Rainbow after Lake Mead,,36.194403,-115.242406,,,,,,0
2213,2213,NB Rainbow after Light Breeze,,36.216703,-115.242193,,,,,,0
2214,2214,SB Rainbow after Light Breeze,,36.215033,-115.242406,,,,,,0
2217,2217,SB Rainbow after OBannon,,36.147311,-115.243281,,,,,,0
2218,2218,NB Rainbow before Oakey,,36.148755,-115.242975,,,,,,0
2219,2219,NB Rainbow after Oakey,,36.152405,-115.243163,,,,,,0
2220,2220,SB Rainbow after Oakey,,36.150976,-115.243466,,,,,,0
2222,2222,NB Rainbow after Palmyra,,36.133813,-115.242791,,,,,,0
2223,2223,NB Rainbow after Peak,,36.211327,-115.242185,,,,,,0
2224,2224,SB Rainbow after Peak,,36.210149,-115.242391,,,,,,0
2225,2225,SB Rainbow after Red Coach,,36.243418,-115.242348,,,,,,0
2226,2226,NB Rainbow after Riverdale,,36.230275,-115.242215,,,,,,0
2227,2227,SB Rainbow after Riverdale,,36.229585,-115.242415,,,,,,0
2228,2228,NB Rainbow after Sahara,,36.145465,-115.242798,,,,,,0
2229,2229,SB Rainbow after Sahara,,36.14347,-115.24309,,,,,,0
2230,2230,NB Rainbow after Silverstream,,36.179313,-115.242172,,,,,,0
2231,2231,NB Rainbow after Smoke Ranch,,36.20407,-115.242182,,,,,,0
2232,2232,SB Rainbow after Smoke Ranch,,36.202831,-115.2424,,,,,,0
2233,2233,SB Rainbow after Snake River,,36.257915,-115.242459,,,,,,0
2234,2234,NB Rainbow after Spring Mountain,,36.126945,-115.24282,,,,,,0
2235,2235,SB Rainbow after Spring Mountain,,36.124646,-115.243152,,,,,,0
2236,2236,NB Rainbow at 4252 S. Rainbow,,36.111712,-115.242809,,,,,,0
2237,2237,SB Rainbow after Spring Valley S.,,36.102657,-115.243228,,,,,,0
2239,2239,SB Rainbow after Spring Valley N.,,36.10998,-115.243163,,,,,,0
2241,2241,SB Rainbow after Eldora,,36.140145,-115.243101,,,,,,0
2242,2242,SB Rainbow after Welcome,,36.253851,-115.242395,,,,,,0
2245,2245,SB Rainbow after Tropicana,,36.098852,-115.243239,,,,,,0
2247,2247,NB Rainbow after Twain,,36.122504,-115.242812,,,,,,0
2249,2249,SB Rainbow after Twain,,36.121377,-115.243149,,,,,,0
2250,2250,NB Rainbow after Vegas,,36.190143,-115.242172,,,,,,0
2251,2251,SB Rainbow after Vegas,,36.187962,-115.242414,,,,,,0
2252,2252,NB Rainbow after Washington,,36.181579,-115.242153,,,,,,0
2253,2253,SB Rainbow after Washington,,36.180135,-115.242479,,,,,,0
2254,2254,SB Rainbow after Westcliff,,36.173039,-115.244581,,,,,,0
2255,2255,NB Rainbow before Westcliff,,36.172729,-115.244193,,,,,,0
2256,2256,SB Rainbow after White Sands,,36.169996,-115.244534,,,,,,0
2257,2257,NB Rainbow after Wild Bob,,36.23688,-115.242146,,,,,,0
2258,2258,SB Rainbow after Wild Bob,,36.23578,-115.242393,,,,,,0
2259,2259,SB Rainbow after Willow Lake,,36.221195,-115.242405,,,,,,0
2260,2260,SB Rainbow after Willow Wood,,36.224785,-115.242414,,,,,,0
2261,2261,NB Rainbow after Yorktown,,36.207435,-115.242183,,,,,,0
2262,2262,SB Rainbow after Yorktown,,36.20647,-115.242386,,,,,,0
2263,2263,SB Rampart after Cheyenne,,36.21826,-115.27895,,,,,,0
2264,2264,SB Rampart after Del Webb,,36.20975,-115.2791,,,,,,0
2265,2265,NB Rampart after Lake Mead,,36.200609,-115.281369,,,,,,0
2268,2268,NB Rampart after Scholar,,36.197078,-115.284659,,,,,,0
2270,2270,NB Rancho after Airport,,36.207394,-115.203029,,,,,,0
2272,2272,NB Jimmy Durante after Tropicana,,36.101159,-115.039509,,,,,,0
2273,2273,SB Rancho after Alta,,36.165616,-115.172828,,,,,,0
2275,2275,SB Rancho after Bonanza,,36.177,-115.175764,,,,,,0
2278,2278,NB Rancho after Carey,,36.203424,-115.199337,,,,,,0
2279,2279,NB Rancho after Charleston,,36.159608,-115.172637,,,,,,0
2281,2281,NB Rancho after Cheyenne,,36.217601,-115.212344,,,,,,0
2282,2282,SB Rancho after Cheyenne,,36.216615,-115.211824,,,,,,0
2283,2283,NB Rancho after Coran,,36.196862,-115.193375,,,,,,0
2284,2284,SB Rancho after Coran,,36.195309,-115.192419,,,,,,0
2285,2285,NB Rancho after Craig,,36.240762,-115.233475,,,,,,0
2286,2286,SB Rancho after Craig,,36.238941,-115.232181,,,,,,0
2288,2288,NB Rancho at 2830 N. Rancho,,36.213842,-115.208882,,,,,,0
2290,2290,NB Rancho after Decatur,,36.210576,-115.205906,,,,,,0
2291,2291,SB Rancho after Decatur,,36.208455,-115.20442,,,,,,0
2292,2292,NB Rancho after Duncan,,36.22782,-115.221666,,,,,,0
2293,2293,SB Rancho after Duncan,,36.227007,-115.221301,,,,,,0
2296,2296,NB Rancho after Ernest May,,36.180012,-115.178094,,,,,,0
